family,n,k,analysis_status,circuits,metric,mean,ci95_low,ci95_high
SU2-CNOT-line,14,2,exploratory_post_hoc,12,enhancement,0.9788827079342091,0.9725866422391218,0.9852576724533448
SU2-CNOT-line,14,2,exploratory_post_hoc,12,orientation_growth_ratio,0.015793430806546466,0.010909897783944886,0.020567331727909775
SU2-CNOT-line,14,2,exploratory_post_hoc,12,population_orientation_z,-6.558984615393698,-8.440388105599476,-4.563368919316631
SU2-CNOT-line,14,2,exploratory_post_hoc,12,r_times_deff,172557.6387038386,171052.24687992095,174173.6017731935
SU2-CNOT-line,16,1,exploratory_post_hoc,12,enhancement,0.9523307476215029,0.9410904600444712,0.9635726991938239
SU2-CNOT-line,16,1,exploratory_post_hoc,12,orientation_growth_ratio,0.034330211638602386,0.026446992873870076,0.04255204129406394
SU2-CNOT-line,16,1,exploratory_post_hoc,12,population_orientation_z,-6.642874968708408,-8.21287864212986,-5.063356470031152
SU2-CNOT-line,16,1,exploratory_post_hoc,12,r_times_deff,37283.841134887,36841.32185914677,37777.88112269662
SU2-CNOT-line,16,2,exploratory_post_hoc,12,enhancement,0.9855648089589675,0.9792949253603966,0.9925161910013097
SU2-CNOT-line,16,2,exploratory_post_hoc,12,orientation_growth_ratio,0.011847475429752152,0.008338841730143294,0.01535637980650563
SU2-CNOT-line,16,2,exploratory_post_hoc,12,population_orientation_z,-5.859821437177036,-8.367652857667832,-3.012355030619494
SU2-CNOT-line,16,2,exploratory_post_hoc,12,r_times_deff,316912.64964653953,313189.13179551833,321086.4089143188
SU2-CZ-random-matching,6,1,exploratory_post_hoc,16,enhancement,0.9372871040940403,0.9093155955342518,0.965542532059511
SU2-CZ-random-matching,6,1,exploratory_post_hoc,16,orientation_growth_ratio,0.11003909754935118,0.07605381000433543,0.14558480243989155
SU2-CZ-random-matching,6,1,exploratory_post_hoc,16,population_orientation_z,-1.6588187269256913,-2.377524303830718,-0.9260786409862073
SU2-CZ-random-matching,6,1,exploratory_post_hoc,16,r_times_deff,290.7815167170603,287.0214119865026,294.4625346281935
SU2-CZ-random-matching,6,2,exploratory_post_hoc,16,enhancement,0.9666484645440767,0.9510955865312307,0.9815978908093684
SU2-CZ-random-matching,6,2,exploratory_post_hoc,16,orientation_growth_ratio,0.06762363115579685,0.04634444681863124,0.09118395030629198
SU2-CZ-random-matching,6,2,exploratory_post_hoc,16,population_orientation_z,-1.9071102545332856,-2.7758783027841205,-1.0512282923919476
SU2-CZ-random-matching,6,2,exploratory_post_hoc,16,r_times_deff,1017.7353085097111,1004.9036472019973,1030.1844548154763
SU2-CZ-random-matching,8,1,exploratory_post_hoc,16,enhancement,0.9651373809985488,0.9443585111761051,0.9851586062008326
SU2-CZ-random-matching,8,1,exploratory_post_hoc,16,orientation_growth_ratio,0.04963631657605684,0.03146486922709562,0.06929358514748025
SU2-CZ-random-matching,8,1,exploratory_post_hoc,16,population_orientation_z,-1.3945911252177536,-2.234094117415296,-0.5602260732878828
SU2-CZ-random-matching,8,1,exploratory_post_hoc,16,r_times_deff,1238.9038268223876,1229.0774690176345,1249.4247053930408
